Visitor,Order,Customer,Device,Date,Rate,Source
207942,249,Undetermined,Mobile Phone,2/10/2019,0.0011974492887439766,Undetermined Mobile Phone
140591,353,Undetermined,Desktop,2/10/2019,0.0025108292849471163,Undetermined Desktop
86474,871,Customer,Mobile Phone,2/10/2019,0.010072391701551912,Customer Mobile Phone
25654,47,Undetermined,Tablet,2/10/2019,0.0018320729710766352,Undetermined Tablet
16178,405,Customer,Tablet,2/10/2019,0.02503399678575844,Customer Tablet
113659,2910,Customer,Desktop,2/10/2019,0.02560289990233945,Customer Desktop
24476,87,Prospect,Mobile Phone,2/10/2019,0.0035545023696682467,Prospect Mobile Phone
4433,8,Prospect,Tablet,2/10/2019,0.0018046469659372887,Prospect Tablet
18867,86,Prospect,Desktop,2/10/2019,0.0045582233529442955,Prospect Desktop
19228,123,Prospect,Desktop,3/11/2019,0.006396921156646557,Prospect Desktop
162171,290,Undetermined,Mobile Phone,3/11/2019,0.0017882358744781745,Undetermined Mobile Phone
151662,705,Undetermined,Desktop,3/11/2019,0.004648494678957155,Undetermined Desktop
78720,809,Customer,Mobile Phone,3/11/2019,0.010276930894308943,Customer Mobile Phone
17411,36,Undetermined,Tablet,3/11/2019,0.0020676583768881747,Undetermined Tablet
13290,326,Customer,Tablet,3/11/2019,0.02452972159518435,Customer Tablet
163301,3991,Customer,Desktop,3/11/2019,0.024439531907336758,Customer Desktop
21013,102,Prospect,Mobile Phone,3/11/2019,0.004854137914624281,Prospect Mobile Phone
2957,9,Prospect,Tablet,3/11/2019,0.003043625295908015,Prospect Tablet
2844,4,Prospect,Tablet,2/5/2019,0.0014064697609001409,Prospect Tablet
18790,82,Prospect,Desktop,2/5/2019,0.004364023416711015,Prospect Desktop
176346,272,Undetermined,Mobile Phone,2/5/2019,0.00154242228346546,Undetermined Mobile Phone
160267,556,Undetermined,Desktop,2/5/2019,0.003469210754553339,Undetermined Desktop
77440,795,Customer,Mobile Phone,2/5/2019,0.010266012396694215,Customer Mobile Phone
21429,41,Undetermined,Tablet,2/5/2019,0.0019132950674319847,Undetermined Tablet
13388,307,Customer,Tablet,2/5/2019,0.022930982969823724,Customer Tablet
152234,3558,Customer,Desktop,2/5/2019,0.023371914289843268,Customer Desktop
16361,78,Prospect,Mobile Phone,2/5/2019,0.004767434753376933,Prospect Mobile Phone
79729,936,Customer,Mobile Phone,3/16/2019,0.011739768465677482,Customer Mobile Phone
20986,56,Undetermined,Tablet,3/16/2019,0.00266844563042028,Undetermined Tablet
14494,405,Customer,Tablet,3/16/2019,0.02794259693666345,Customer Tablet
118499,3364,Customer,Desktop,3/16/2019,0.02838842521877822,Customer Desktop
21711,91,Prospect,Mobile Phone,3/16/2019,0.004191423702270739,Prospect Mobile Phone
3358,6,Prospect,Tablet,3/16/2019,0.0017867778439547351,Prospect Tablet
15337,95,Prospect,Desktop,3/16/2019,0.006194170959118472,Prospect Desktop
169425,255,Undetermined,Mobile Phone,3/16/2019,0.0015050907481186364,Undetermined Mobile Phone
135771,505,Undetermined,Desktop,3/16/2019,0.00371949827282704,Undetermined Desktop
15064,386,Customer,Tablet,3/10/2019,0.02562400424853957,Customer Tablet
112555,3033,Customer,Desktop,3/10/2019,0.026946825996179646,Customer Desktop
21713,82,Prospect,Mobile Phone,3/10/2019,0.003776539400359232,Prospect Mobile Phone
3290,10,Prospect,Tablet,3/10/2019,0.00303951367781155,Prospect Tablet
13107,72,Prospect,Desktop,3/10/2019,0.005493247882810711,Prospect Desktop
159871,245,Undetermined,Mobile Phone,3/10/2019,0.001532485566487981,Undetermined Mobile Phone
111532,544,Undetermined,Desktop,3/10/2019,0.004877523939317864,Undetermined Desktop
80212,880,Customer,Mobile Phone,3/10/2019,0.010970927043335162,Customer Mobile Phone
19688,54,Undetermined,Tablet,3/10/2019,0.0027427874847622924,Undetermined Tablet
131073,3815,Customer,Desktop,3/2/2019,0.02910591807618655,Customer Desktop
24743,118,Prospect,Mobile Phone,3/2/2019,0.00476902558299317,Prospect Mobile Phone
3449,12,Prospect,Tablet,3/2/2019,0.0034792693534357786,Prospect Tablet
16990,109,Prospect,Desktop,3/2/2019,0.0064155385520894646,Prospect Desktop
179557,330,Undetermined,Mobile Phone,3/2/2019,0.0018378565023919981,Undetermined Mobile Phone
128910,613,Undetermined,Desktop,3/2/2019,0.00475525560468544,Undetermined Desktop
96279,1251,Customer,Mobile Phone,3/2/2019,0.012993487676440344,Customer Mobile Phone
20217,56,Undetermined,Tablet,3/2/2019,0.002769946084977989,Undetermined Tablet
16966,556,Customer,Tablet,3/2/2019,0.032771425203347866,Customer Tablet
3191,5,Prospect,Tablet,2/7/2019,0.0015669069257286115,Prospect Tablet
19949,95,Prospect,Desktop,2/7/2019,0.0047621434658378856,Prospect Desktop
199045,314,Undetermined,Mobile Phone,2/7/2019,0.0015775327187319448,Undetermined Mobile Phone
